date,type,locale,locale_name,description
2014-05-23,Working Day,Working Day,Working Day,Working Day
2014-05-24,Holiday,National,Ecuador,Batalla de Pichincha
2014-05-25,Working Day,Working Day,Working Day,Working Day
2014-05-26,Working Day,Working Day,Working Day,Working Day
2014-05-27,Working Day,Working Day,Working Day,Working Day
2014-05-28,Working Day,Working Day,Working Day,Working Day
2014-05-29,Working Day,Working Day,Working Day,Working Day
2014-05-30,Working Day,Working Day,Working Day,Working Day
2014-05-31,Working Day,Working Day,Working Day,Working Day
2014-06-01,Working Day,Working Day,Working Day,Working Day
2014-06-02,Working Day,Working Day,Working Day,Working Day
2014-06-03,Working Day,Working Day,Working Day,Working Day
2014-06-04,Working Day,Working Day,Working Day,Working Day
2014-06-05,Working Day,Working Day,Working Day,Working Day
2014-06-06,Working Day,Working Day,Working Day,Working Day
2014-06-07,Working Day,Working Day,Working Day,Working Day
2014-06-08,Working Day,Working Day,Working Day,Working Day
2014-06-09,Working Day,Working Day,Working Day,Working Day
2014-06-10,Working Day,Working Day,Working Day,Working Day
2014-06-11,Working Day,Working Day,Working Day,Working Day
2014-06-12,Event,National,Ecuador,Inauguracion Mundial de futbol Brasil
2014-06-13,Working Day,Working Day,Working Day,Working Day
2014-06-14,Working Day,Working Day,Working Day,Working Day
2014-06-15,Event,National,Ecuador,Mundial de futbol Brasil: Ecuador-Suiza
2014-06-16,Working Day,Working Day,Working Day,Working Day
2014-06-17,Working Day,Working Day,Working Day,Working Day
2014-06-18,Working Day,Working Day,Working Day,Working Day
2014-06-19,Working Day,Working Day,Working Day,Working Day
2014-06-20,Event,National,Ecuador,Mundial de futbol Brasil: Ecuador-Honduras
2014-06-21,Working Day,Working Day,Working Day,Working Day
2014-06-22,Working Day,Working Day,Working Day,Working Day
2014-06-23,Holiday,Local,Guaranda,Cantonizacion de Guaranda
2014-06-24,Working Day,Working Day,Working Day,Working Day
2014-06-25,Event,National,Ecuador,Mundial de futbol Brasil: Ecuador-Francia
2014-06-26,Working Day,Working Day,Working Day,Working Day
2014-06-27,Working Day,Working Day,Working Day,Working Day
2014-06-28,Event,National,Ecuador,Mundial de futbol Brasil: Octavos de Final
2014-06-29,Event,National,Ecuador,Mundial de futbol Brasil: Octavos de Final
2014-06-30,Event,National,Ecuador,Mundial de futbol Brasil: Octavos de Final
2014-07-01,Event,National,Ecuador,Mundial de futbol Brasil: Octavos de Final
2014-07-02,Working Day,Working Day,Working Day,Working Day
2014-07-03,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo
2014-07-04,Event,National,Ecuador,Mundial de futbol Brasil: Cuartos de Final
2014-07-05,Event,National,Ecuador,Mundial de futbol Brasil: Cuartos de Final
2014-07-06,Working Day,Working Day,Working Day,Working Day
2014-07-07,Working Day,Working Day,Working Day,Working Day
2014-07-08,Event,National,Ecuador,Mundial de futbol Brasil: Semifinales
2014-07-09,Event,National,Ecuador,Mundial de futbol Brasil: Semifinales
2014-07-10,Working Day,Working Day,Working Day,Working Day
2014-07-11,Working Day,Working Day,Working Day,Working Day
2014-07-12,Event,National,Ecuador,Mundial de futbol Brasil: Tercer y cuarto lugar
2014-07-13,Event,National,Ecuador,Mundial de futbol Brasil: Final
2014-07-14,Working Day,Working Day,Working Day,Working Day
2014-07-15,Working Day,Working Day,Working Day,Working Day
2014-07-16,Working Day,Working Day,Working Day,Working Day
2014-07-17,Working Day,Working Day,Working Day,Working Day
2014-07-18,Working Day,Working Day,Working Day,Working Day
2014-07-19,Working Day,Working Day,Working Day,Working Day
2014-07-20,Working Day,Working Day,Working Day,Working Day
2014-07-21,Working Day,Working Day,Working Day,Working Day
2014-07-22,Working Day,Working Day,Working Day,Working Day
2014-07-23,Holiday,Local,Cayambe,Cantonizacion de Cayambe
2014-07-24,Additional,Local,Guayaquil,Fundacion de Guayaquil-1
2014-07-25,Holiday,Local,Guayaquil,Fundacion de Guayaquil
2014-07-26,Working Day,Working Day,Working Day,Working Day
2014-07-27,Working Day,Working Day,Working Day,Working Day
2014-07-28,Working Day,Working Day,Working Day,Working Day
2014-07-29,Working Day,Working Day,Working Day,Working Day
2014-07-30,Working Day,Working Day,Working Day,Working Day
2014-07-31,Working Day,Working Day,Working Day,Working Day
2014-08-01,Working Day,Working Day,Working Day,Working Day
2014-08-02,Working Day,Working Day,Working Day,Working Day
2014-08-03,Working Day,Working Day,Working Day,Working Day
2014-08-04,Working Day,Working Day,Working Day,Working Day
2014-08-05,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas
2014-08-06,Working Day,Working Day,Working Day,Working Day
2014-08-07,Working Day,Working Day,Working Day,Working Day
2014-08-08,Working Day,Working Day,Working Day,Working Day
2014-08-09,Working Day,Working Day,Working Day,Working Day
2014-08-10,Holiday,National,Ecuador,Primer Grito de Independencia
2014-08-11,Working Day,Working Day,Working Day,Working Day
2014-08-12,Working Day,Working Day,Working Day,Working Day
2014-08-13,Working Day,Working Day,Working Day,Working Day
2014-08-14,Working Day,Working Day,Working Day,Working Day
2014-08-15,Holiday,Local,Riobamba,Fundacion de Riobamba
2014-08-16,Working Day,Working Day,Working Day,Working Day
2014-08-17,Working Day,Working Day,Working Day,Working Day
2014-08-18,Working Day,Working Day,Working Day,Working Day
2014-08-19,Working Day,Working Day,Working Day,Working Day
2014-08-20,Working Day,Working Day,Working Day,Working Day
2014-08-21,Working Day,Working Day,Working Day,Working Day
2014-08-22,Working Day,Working Day,Working Day,Working Day
2014-08-23,Working Day,Working Day,Working Day,Working Day
2014-08-24,Holiday,Local,Ambato,Fundacion de Ambato
2014-08-25,Working Day,Working Day,Working Day,Working Day
2014-08-26,Working Day,Working Day,Working Day,Working Day
2014-08-27,Working Day,Working Day,Working Day,Working Day
2014-08-28,Working Day,Working Day,Working Day,Working Day
2014-08-29,Working Day,Working Day,Working Day,Working Day
2014-08-30,Working Day,Working Day,Working Day,Working Day
2014-08-31,Working Day,Working Day,Working Day,Working Day
2014-09-01,Working Day,Working Day,Working Day,Working Day
2014-09-02,Working Day,Working Day,Working Day,Working Day
2014-09-03,Working Day,Working Day,Working Day,Working Day
2014-09-04,Working Day,Working Day,Working Day,Working Day
2014-09-05,Working Day,Working Day,Working Day,Working Day
2014-09-06,Working Day,Working Day,Working Day,Working Day
2014-09-07,Working Day,Working Day,Working Day,Working Day
2014-09-08,Working Day,Working Day,Working Day,Working Day
2014-09-09,Working Day,Working Day,Working Day,Working Day
2014-09-10,Working Day,Working Day,Working Day,Working Day
2014-09-11,Working Day,Working Day,Working Day,Working Day
2014-09-12,Working Day,Working Day,Working Day,Working Day
2014-09-13,Working Day,Working Day,Working Day,Working Day
2014-09-14,Working Day,Working Day,Working Day,Working Day
2014-09-15,Working Day,Working Day,Working Day,Working Day
2014-09-16,Working Day,Working Day,Working Day,Working Day
2014-09-17,Working Day,Working Day,Working Day,Working Day
2014-09-18,Working Day,Working Day,Working Day,Working Day
2014-09-19,Working Day,Working Day,Working Day,Working Day
2014-09-20,Working Day,Working Day,Working Day,Working Day
2014-09-21,Working Day,Working Day,Working Day,Working Day
2014-09-22,Working Day,Working Day,Working Day,Working Day
2014-09-23,Working Day,Working Day,Working Day,Working Day
2014-09-24,Working Day,Working Day,Working Day,Working Day
2014-09-25,Working Day,Working Day,Working Day,Working Day
2014-09-26,Working Day,Working Day,Working Day,Working Day
2014-09-27,Working Day,Working Day,Working Day,Working Day
2014-09-28,Holiday,Local,Ibarra,Fundacion de Ibarra
2014-09-29,Working Day,Working Day,Working Day,Working Day
2014-09-30,Working Day,Working Day,Working Day,Working Day
2014-10-01,Working Day,Working Day,Working Day,Working Day
2014-10-02,Working Day,Working Day,Working Day,Working Day
2014-10-03,Working Day,Working Day,Working Day,Working Day
2014-10-04,Working Day,Working Day,Working Day,Working Day
2014-10-05,Working Day,Working Day,Working Day,Working Day
2014-10-06,Working Day,Working Day,Working Day,Working Day
2014-10-07,Holiday,Local,Quevedo,Cantonizacion de Quevedo
2014-10-08,Working Day,Working Day,Working Day,Working Day
2014-10-09,Moved,National,Ecuador,Independencia de Guayaquil
2014-10-10,Transfer,National,Ecuador,Traslado Independencia de Guayaquil
2014-10-11,Working Day,Working Day,Working Day,Working Day
2014-10-12,Working Day,Working Day,Working Day,Working Day
2014-10-13,Working Day,Working Day,Working Day,Working Day
2014-10-14,Working Day,Working Day,Working Day,Working Day
2014-10-15,Working Day,Working Day,Working Day,Working Day
2014-10-16,Working Day,Working Day,Working Day,Working Day
2014-10-17,Working Day,Working Day,Working Day,Working Day
2014-10-18,Working Day,Working Day,Working Day,Working Day
2014-10-19,Working Day,Working Day,Working Day,Working Day
2014-10-20,Working Day,Working Day,Working Day,Working Day
2014-10-21,Working Day,Working Day,Working Day,Working Day
2014-10-22,Working Day,Working Day,Working Day,Working Day
2014-10-23,Working Day,Working Day,Working Day,Working Day
2014-10-24,Working Day,Working Day,Working Day,Working Day
2014-10-25,Working Day,Working Day,Working Day,Working Day
2014-10-26,Working Day,Working Day,Working Day,Working Day
2014-10-27,Working Day,Working Day,Working Day,Working Day
2014-10-28,Working Day,Working Day,Working Day,Working Day
2014-10-29,Working Day,Working Day,Working Day,Working Day
2014-10-30,Working Day,Working Day,Working Day,Working Day
2014-10-31,Working Day,Working Day,Working Day,Working Day
2014-11-01,Working Day,Working Day,Working Day,Working Day
2014-11-02,Holiday,National,Ecuador,Dia de Difuntos
2014-11-03,Holiday,National,Ecuador,Independencia de Cuenca
2014-11-04,Working Day,Working Day,Working Day,Working Day
2014-11-05,Working Day,Working Day,Working Day,Working Day
2014-11-06,Holiday,Regional,Santo Domingo de los Tsachilas,Provincializacion de Santo Domingo
2014-11-07,Holiday,Regional,Santa Elena,Provincializacion Santa Elena
2014-11-08,Working Day,Working Day,Working Day,Working Day
2014-11-09,Working Day,Working Day,Working Day,Working Day
2014-11-10,Holiday,Local,Guaranda,Independencia de Guaranda
2014-11-11,Holiday,Local,Latacunga,Independencia de Latacunga
2014-11-12,Holiday,Local,Ambato,Independencia de Ambato
2014-11-13,Working Day,Working Day,Working Day,Working Day
2014-11-14,Working Day,Working Day,Working Day,Working Day
2014-11-15,Working Day,Working Day,Working Day,Working Day
2014-11-16,Working Day,Working Day,Working Day,Working Day
2014-11-17,Working Day,Working Day,Working Day,Working Day
2014-11-18,Working Day,Working Day,Working Day,Working Day
2014-11-19,Working Day,Working Day,Working Day,Working Day
2014-11-20,Working Day,Working Day,Working Day,Working Day
2014-11-21,Working Day,Working Day,Working Day,Working Day
2014-11-22,Working Day,Working Day,Working Day,Working Day
2014-11-23,Working Day,Working Day,Working Day,Working Day
2014-11-24,Working Day,Working Day,Working Day,Working Day
2014-11-25,Working Day,Working Day,Working Day,Working Day
2014-11-26,Working Day,Working Day,Working Day,Working Day
2014-11-27,Working Day,Working Day,Working Day,Working Day
2014-11-28,Event,National,Ecuador,Black Friday
2014-11-29,Working Day,Working Day,Working Day,Working Day
2014-11-30,Working Day,Working Day,Working Day,Working Day
2014-12-01,Event,National,Ecuador,Cyber Monday
2014-12-02,Working Day,Working Day,Working Day,Working Day
2014-12-03,Working Day,Working Day,Working Day,Working Day
2014-12-04,Working Day,Working Day,Working Day,Working Day
2014-12-05,Additional,Local,Quito,Fundacion de Quito-1
2014-12-06,Holiday,Local,Quito,Fundacion de Quito
2014-12-07,Working Day,Working Day,Working Day,Working Day
2014-12-08,Holiday,Local,Loja,Fundacion de Loja
2014-12-09,Working Day,Working Day,Working Day,Working Day
2014-12-10,Working Day,Working Day,Working Day,Working Day
2014-12-11,Working Day,Working Day,Working Day,Working Day
2014-12-12,Working Day,Working Day,Working Day,Working Day
2014-12-13,Working Day,Working Day,Working Day,Working Day
2014-12-14,Working Day,Working Day,Working Day,Working Day
2014-12-15,Working Day,Working Day,Working Day,Working Day
2014-12-16,Working Day,Working Day,Working Day,Working Day
2014-12-17,Working Day,Working Day,Working Day,Working Day
2014-12-18,Working Day,Working Day,Working Day,Working Day
2014-12-19,Working Day,Working Day,Working Day,Working Day
2014-12-20,Sat/Sun Working Day,National,Ecuador,Recupero Puente Navidad
2014-12-21,Additional,National,Ecuador,Navidad-4
2014-12-22,Additional,National,Ecuador,Navidad-3
2014-12-23,Additional,National,Ecuador,Navidad-2
2014-12-24,Additional,National,Ecuador,Navidad-1
2014-12-25,Holiday,National,Ecuador,Navidad
2014-12-26,Additional,National,Ecuador,Navidad+1
2014-12-27,Working Day,Working Day,Working Day,Working Day
2014-12-28,Working Day,Working Day,Working Day,Working Day
2014-12-29,Working Day,Working Day,Working Day,Working Day
2014-12-30,Working Day,Working Day,Working Day,Working Day
2014-12-31,Additional,National,Ecuador,Primer dia del ano-1
2015-01-01,Holiday,National,Ecuador,Primer dia del ano
2015-01-02,Bridge,National,Ecuador,Puente Primer dia del ano
2015-01-03,Working Day,Working Day,Working Day,Working Day
2015-01-04,Working Day,Working Day,Working Day,Working Day
2015-01-05,Working Day,Working Day,Working Day,Working Day
2015-01-06,Working Day,Working Day,Working Day,Working Day
2015-01-07,Working Day,Working Day,Working Day,Working Day
2015-01-08,Working Day,Working Day,Working Day,Working Day
2015-01-09,Working Day,Working Day,Working Day,Working Day
2015-01-10,Sat/Sun Working Day,National,Ecuador,Recupero Puente Primer dia del ano
2015-01-11,Working Day,Working Day,Working Day,Working Day
2015-01-12,Working Day,Working Day,Working Day,Working Day
2015-01-13,Working Day,Working Day,Working Day,Working Day
2015-01-14,Working Day,Working Day,Working Day,Working Day
2015-01-15,Working Day,Working Day,Working Day,Working Day
2015-01-16,Working Day,Working Day,Working Day,Working Day
2015-01-17,Working Day,Working Day,Working Day,Working Day
2015-01-18,Working Day,Working Day,Working Day,Working Day
2015-01-19,Working Day,Working Day,Working Day,Working Day
2015-01-20,Working Day,Working Day,Working Day,Working Day
2015-01-21,Working Day,Working Day,Working Day,Working Day
2015-01-22,Working Day,Working Day,Working Day,Working Day
2015-01-23,Working Day,Working Day,Working Day,Working Day
2015-01-24,Working Day,Working Day,Working Day,Working Day
2015-01-25,Working Day,Working Day,Working Day,Working Day
2015-01-26,Working Day,Working Day,Working Day,Working Day
2015-01-27,Working Day,Working Day,Working Day,Working Day
2015-01-28,Working Day,Working Day,Working Day,Working Day
2015-01-29,Working Day,Working Day,Working Day,Working Day
2015-01-30,Working Day,Working Day,Working Day,Working Day
2015-01-31,Working Day,Working Day,Working Day,Working Day
2015-02-01,Working Day,Working Day,Working Day,Working Day
2015-02-02,Working Day,Working Day,Working Day,Working Day
2015-02-03,Working Day,Working Day,Working Day,Working Day
2015-02-04,Working Day,Working Day,Working Day,Working Day
2015-02-05,Working Day,Working Day,Working Day,Working Day
2015-02-06,Working Day,Working Day,Working Day,Working Day
2015-02-07,Working Day,Working Day,Working Day,Working Day
2015-02-08,Working Day,Working Day,Working Day,Working Day
2015-02-09,Working Day,Working Day,Working Day,Working Day
2015-02-10,Working Day,Working Day,Working Day,Working Day
2015-02-11,Working Day,Working Day,Working Day,Working Day
2015-02-12,Working Day,Working Day,Working Day,Working Day
2015-02-13,Working Day,Working Day,Working Day,Working Day
2015-02-14,Working Day,Working Day,Working Day,Working Day
2015-02-15,Working Day,Working Day,Working Day,Working Day
2015-02-16,Holiday,National,Ecuador,Carnaval
2015-02-17,Holiday,National,Ecuador,Carnaval
2015-02-18,Working Day,Working Day,Working Day,Working Day
2015-02-19,Working Day,Working Day,Working Day,Working Day
2015-02-20,Working Day,Working Day,Working Day,Working Day
2015-02-21,Working Day,Working Day,Working Day,Working Day
2015-02-22,Working Day,Working Day,Working Day,Working Day
2015-02-23,Working Day,Working Day,Working Day,Working Day
2015-02-24,Working Day,Working Day,Working Day,Working Day
2015-02-25,Working Day,Working Day,Working Day,Working Day
2015-02-26,Working Day,Working Day,Working Day,Working Day
2015-02-27,Working Day,Working Day,Working Day,Working Day
2015-02-28,Working Day,Working Day,Working Day,Working Day
2015-03-01,Working Day,Working Day,Working Day,Working Day
2015-03-02,Holiday,Local,Manta,Fundacion de Manta
2015-03-03,Working Day,Working Day,Working Day,Working Day
2015-03-04,Working Day,Working Day,Working Day,Working Day
2015-03-05,Working Day,Working Day,Working Day,Working Day
2015-03-06,Working Day,Working Day,Working Day,Working Day
2015-03-07,Working Day,Working Day,Working Day,Working Day
2015-03-08,Working Day,Working Day,Working Day,Working Day
2015-03-09,Working Day,Working Day,Working Day,Working Day
2015-03-10,Working Day,Working Day,Working Day,Working Day
2015-03-11,Working Day,Working Day,Working Day,Working Day
2015-03-12,Working Day,Working Day,Working Day,Working Day
2015-03-13,Working Day,Working Day,Working Day,Working Day
2015-03-14,Working Day,Working Day,Working Day,Working Day
2015-03-15,Working Day,Working Day,Working Day,Working Day
2015-03-16,Working Day,Working Day,Working Day,Working Day
2015-03-17,Working Day,Working Day,Working Day,Working Day
2015-03-18,Working Day,Working Day,Working Day,Working Day
2015-03-19,Working Day,Working Day,Working Day,Working Day
2015-03-20,Working Day,Working Day,Working Day,Working Day
2015-03-21,Working Day,Working Day,Working Day,Working Day
2015-03-22,Working Day,Working Day,Working Day,Working Day
2015-03-23,Working Day,Working Day,Working Day,Working Day
2015-03-24,Working Day,Working Day,Working Day,Working Day
2015-03-25,Working Day,Working Day,Working Day,Working Day
2015-03-26,Working Day,Working Day,Working Day,Working Day
2015-03-27,Working Day,Working Day,Working Day,Working Day
2015-03-28,Working Day,Working Day,Working Day,Working Day
2015-03-29,Working Day,Working Day,Working Day,Working Day
2015-03-30,Working Day,Working Day,Working Day,Working Day
2015-03-31,Working Day,Working Day,Working Day,Working Day
2015-04-01,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi
2015-04-02,Working Day,Working Day,Working Day,Working Day
2015-04-03,Holiday,National,Ecuador,Viernes Santo
2015-04-04,Working Day,Working Day,Working Day,Working Day
2015-04-05,Working Day,Working Day,Working Day,Working Day
2015-04-06,Working Day,Working Day,Working Day,Working Day
2015-04-07,Working Day,Working Day,Working Day,Working Day
2015-04-08,Working Day,Working Day,Working Day,Working Day
2015-04-09,Working Day,Working Day,Working Day,Working Day
2015-04-10,Working Day,Working Day,Working Day,Working Day
2015-04-11,Working Day,Working Day,Working Day,Working Day
2015-04-12,Holiday,Local,Cuenca,Fundacion de Cuenca
2015-04-13,Working Day,Working Day,Working Day,Working Day
2015-04-14,Holiday,Local,Libertad,Cantonizacion de Libertad
2015-04-15,Working Day,Working Day,Working Day,Working Day
2015-04-16,Working Day,Working Day,Working Day,Working Day
2015-04-17,Working Day,Working Day,Working Day,Working Day
2015-04-18,Working Day,Working Day,Working Day,Working Day
2015-04-19,Working Day,Working Day,Working Day,Working Day
2015-04-20,Working Day,Working Day,Working Day,Working Day
2015-04-21,Holiday,Local,Riobamba,Cantonizacion de Riobamba
2015-04-22,Working Day,Working Day,Working Day,Working Day
2015-04-23,Working Day,Working Day,Working Day,Working Day
2015-04-24,Working Day,Working Day,Working Day,Working Day
2015-04-25,Working Day,Working Day,Working Day,Working Day
2015-04-26,Working Day,Working Day,Working Day,Working Day
2015-04-27,Working Day,Working Day,Working Day,Working Day
2015-04-28,Working Day,Working Day,Working Day,Working Day
2015-04-29,Working Day,Working Day,Working Day,Working Day
2015-04-30,Working Day,Working Day,Working Day,Working Day
2015-05-01,Holiday,National,Ecuador,Dia del Trabajo
2015-05-02,Working Day,Working Day,Working Day,Working Day
2015-05-03,Working Day,Working Day,Working Day,Working Day
2015-05-04,Working Day,Working Day,Working Day,Working Day
2015-05-05,Working Day,Working Day,Working Day,Working Day
2015-05-06,Working Day,Working Day,Working Day,Working Day
2015-05-07,Working Day,Working Day,Working Day,Working Day
2015-05-08,Working Day,Working Day,Working Day,Working Day
2015-05-09,Additional,National,Ecuador,Dia de la Madre-1
2015-05-10,Event,National,Ecuador,Dia de la Madre
2015-05-11,Working Day,Working Day,Working Day,Working Day
2015-05-12,Holiday,Local,Puyo,Cantonizacion del Puyo
2015-05-13,Working Day,Working Day,Working Day,Working Day
2015-05-14,Working Day,Working Day,Working Day,Working Day
2015-05-15,Working Day,Working Day,Working Day,Working Day
2015-05-16,Working Day,Working Day,Working Day,Working Day
2015-05-17,Working Day,Working Day,Working Day,Working Day
2015-05-18,Working Day,Working Day,Working Day,Working Day
2015-05-19,Working Day,Working Day,Working Day,Working Day
2015-05-20,Working Day,Working Day,Working Day,Working Day
2015-05-21,Working Day,Working Day,Working Day,Working Day
2015-05-22,Working Day,Working Day,Working Day,Working Day
2015-05-23,Working Day,Working Day,Working Day,Working Day
2015-05-24,Holiday,National,Ecuador,Batalla de Pichincha
2015-05-25,Working Day,Working Day,Working Day,Working Day
2015-05-26,Working Day,Working Day,Working Day,Working Day
2015-05-27,Working Day,Working Day,Working Day,Working Day
2015-05-28,Working Day,Working Day,Working Day,Working Day
2015-05-29,Working Day,Working Day,Working Day,Working Day
2015-05-30,Working Day,Working Day,Working Day,Working Day
2015-05-31,Working Day,Working Day,Working Day,Working Day
2015-06-01,Working Day,Working Day,Working Day,Working Day
2015-06-02,Working Day,Working Day,Working Day,Working Day
2015-06-03,Working Day,Working Day,Working Day,Working Day
2015-06-04,Working Day,Working Day,Working Day,Working Day
2015-06-05,Working Day,Working Day,Working Day,Working Day
2015-06-06,Working Day,Working Day,Working Day,Working Day
2015-06-07,Working Day,Working Day,Working Day,Working Day
2015-06-08,Working Day,Working Day,Working Day,Working Day
2015-06-09,Working Day,Working Day,Working Day,Working Day
2015-06-10,Working Day,Working Day,Working Day,Working Day
2015-06-11,Working Day,Working Day,Working Day,Working Day
2015-06-12,Working Day,Working Day,Working Day,Working Day
2015-06-13,Working Day,Working Day,Working Day,Working Day
2015-06-14,Working Day,Working Day,Working Day,Working Day
2015-06-15,Working Day,Working Day,Working Day,Working Day
2015-06-16,Working Day,Working Day,Working Day,Working Day
2015-06-17,Working Day,Working Day,Working Day,Working Day
2015-06-18,Working Day,Working Day,Working Day,Working Day
2015-06-19,Working Day,Working Day,Working Day,Working Day
2015-06-20,Working Day,Working Day,Working Day,Working Day
2015-06-21,Working Day,Working Day,Working Day,Working Day
2015-06-22,Working Day,Working Day,Working Day,Working Day
2015-06-23,Holiday,Local,Guaranda,Cantonizacion de Guaranda
2015-06-24,Working Day,Working Day,Working Day,Working Day
2015-06-25,Holiday,Regional,Imbabura,Provincializacion de Imbabura
2015-06-26,Working Day,Working Day,Working Day,Working Day
2015-06-27,Working Day,Working Day,Working Day,Working Day
2015-06-28,Working Day,Working Day,Working Day,Working Day
2015-06-29,Working Day,Working Day,Working Day,Working Day
2015-06-30,Working Day,Working Day,Working Day,Working Day
2015-07-01,Working Day,Working Day,Working Day,Working Day
2015-07-02,Working Day,Working Day,Working Day,Working Day
2015-07-03,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo
2015-07-04,Working Day,Working Day,Working Day,Working Day
2015-07-05,Working Day,Working Day,Working Day,Working Day
2015-07-06,Working Day,Working Day,Working Day,Working Day
2015-07-07,Working Day,Working Day,Working Day,Working Day
2015-07-08,Working Day,Working Day,Working Day,Working Day
2015-07-09,Working Day,Working Day,Working Day,Working Day
2015-07-10,Working Day,Working Day,Working Day,Working Day
2015-07-11,Working Day,Working Day,Working Day,Working Day
2015-07-12,Working Day,Working Day,Working Day,Working Day
2015-07-13,Working Day,Working Day,Working Day,Working Day
2015-07-14,Working Day,Working Day,Working Day,Working Day
2015-07-15,Working Day,Working Day,Working Day,Working Day
2015-07-16,Working Day,Working Day,Working Day,Working Day
2015-07-17,Working Day,Working Day,Working Day,Working Day
2015-07-18,Working Day,Working Day,Working Day,Working Day
2015-07-19,Working Day,Working Day,Working Day,Working Day
2015-07-20,Working Day,Working Day,Working Day,Working Day
2015-07-21,Working Day,Working Day,Working Day,Working Day
2015-07-22,Working Day,Working Day,Working Day,Working Day
2015-07-23,Holiday,Local,Cayambe,Cantonizacion de Cayambe
2015-07-24,Holiday,Local,Guayaquil,Fundacion de Guayaquil-1
2015-07-25,Holiday,Local,Guayaquil,Fundacion de Guayaquil
2015-07-26,Working Day,Working Day,Working Day,Working Day
2015-07-27,Working Day,Working Day,Working Day,Working Day
2015-07-28,Working Day,Working Day,Working Day,Working Day
2015-07-29,Working Day,Working Day,Working Day,Working Day
2015-07-30,Working Day,Working Day,Working Day,Working Day
2015-07-31,Working Day,Working Day,Working Day,Working Day
2015-08-01,Working Day,Working Day,Working Day,Working Day
2015-08-02,Working Day,Working Day,Working Day,Working Day
2015-08-03,Working Day,Working Day,Working Day,Working Day
2015-08-04,Working Day,Working Day,Working Day,Working Day
2015-08-05,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas
2015-08-06,Working Day,Working Day,Working Day,Working Day
2015-08-07,Working Day,Working Day,Working Day,Working Day
2015-08-08,Working Day,Working Day,Working Day,Working Day
2015-08-09,Working Day,Working Day,Working Day,Working Day
2015-08-10,Holiday,National,Ecuador,Primer Grito de Independencia
2015-08-11,Working Day,Working Day,Working Day,Working Day
2015-08-12,Working Day,Working Day,Working Day,Working Day
2015-08-13,Working Day,Working Day,Working Day,Working Day
2015-08-14,Working Day,Working Day,Working Day,Working Day
2015-08-15,Holiday,Local,Riobamba,Fundacion de Riobamba
2015-08-16,Working Day,Working Day,Working Day,Working Day
2015-08-17,Working Day,Working Day,Working Day,Working Day
2015-08-18,Working Day,Working Day,Working Day,Working Day
2015-08-19,Working Day,Working Day,Working Day,Working Day
2015-08-20,Working Day,Working Day,Working Day,Working Day
2015-08-21,Working Day,Working Day,Working Day,Working Day
2015-08-22,Working Day,Working Day,Working Day,Working Day
2015-08-23,Working Day,Working Day,Working Day,Working Day
2015-08-24,Holiday,Local,Ambato,Fundacion de Ambato
2015-08-25,Working Day,Working Day,Working Day,Working Day
2015-08-26,Working Day,Working Day,Working Day,Working Day
2015-08-27,Working Day,Working Day,Working Day,Working Day
2015-08-28,Working Day,Working Day,Working Day,Working Day
2015-08-29,Working Day,Working Day,Working Day,Working Day
2015-08-30,Working Day,Working Day,Working Day,Working Day
2015-08-31,Working Day,Working Day,Working Day,Working Day
2015-09-01,Working Day,Working Day,Working Day,Working Day
2015-09-02,Working Day,Working Day,Working Day,Working Day
2015-09-03,Working Day,Working Day,Working Day,Working Day
2015-09-04,Working Day,Working Day,Working Day,Working Day
2015-09-05,Working Day,Working Day,Working Day,Working Day
2015-09-06,Working Day,Working Day,Working Day,Working Day
2015-09-07,Working Day,Working Day,Working Day,Working Day
2015-09-08,Working Day,Working Day,Working Day,Working Day
2015-09-09,Working Day,Working Day,Working Day,Working Day
2015-09-10,Working Day,Working Day,Working Day,Working Day
2015-09-11,Working Day,Working Day,Working Day,Working Day
2015-09-12,Working Day,Working Day,Working Day,Working Day
2015-09-13,Working Day,Working Day,Working Day,Working Day
2015-09-14,Working Day,Working Day,Working Day,Working Day
2015-09-15,Working Day,Working Day,Working Day,Working Day
2015-09-16,Working Day,Working Day,Working Day,Working Day
2015-09-17,Working Day,Working Day,Working Day,Working Day
2015-09-18,Working Day,Working Day,Working Day,Working Day
2015-09-19,Working Day,Working Day,Working Day,Working Day
2015-09-20,Working Day,Working Day,Working Day,Working Day
2015-09-21,Working Day,Working Day,Working Day,Working Day
2015-09-22,Working Day,Working Day,Working Day,Working Day
2015-09-23,Working Day,Working Day,Working Day,Working Day
2015-09-24,Working Day,Working Day,Working Day,Working Day
2015-09-25,Working Day,Working Day,Working Day,Working Day
2015-09-26,Working Day,Working Day,Working Day,Working Day
2015-09-27,Working Day,Working Day,Working Day,Working Day
2015-09-28,Holiday,Local,Ibarra,Fundacion de Ibarra
2015-09-29,Working Day,Working Day,Working Day,Working Day
2015-09-30,Working Day,Working Day,Working Day,Working Day
2015-10-01,Working Day,Working Day,Working Day,Working Day
2015-10-02,Working Day,Working Day,Working Day,Working Day
2015-10-03,Working Day,Working Day,Working Day,Working Day
2015-10-04,Working Day,Working Day,Working Day,Working Day
